symbol,date,dividend,updated_on
BINO.JK,05-Jul-2024,0.6054792,2024-10-11 09:32:21
ELIT.JK,05-Jul-2024,5,2024-10-11 09:32:21
SMDR.JK,05-Jul-2024,12,2024-10-11 09:32:21
UNIQ.JK,05-Jul-2024,3.98,2024-10-11 09:32:21
RAFI.JK,05-Jul-2024,0.32,2024-10-11 09:32:21
MUTU.JK,05-Jul-2024,3,2024-10-11 09:32:21
BPFI.JK,05-Jul-2024,9.72,2024-10-11 09:32:21
TYRE.JK,05-Jul-2024,2,2024-10-11 09:32:21
RELI.JK,05-Jul-2024,20.048648,2024-10-11 09:32:21
GJTL.JK,05-Jul-2024,50,2024-10-11 09:32:21
SWID.JK,05-Jul-2024,1.0936,2024-10-11 09:32:21
ASSA.JK,05-Jul-2024,20,2024-10-11 09:32:21
CEKA.JK,05-Jul-2024,100,2024-10-11 09:32:21
INKP.JK,28-Jun-2024,50,2024-10-11 09:32:22
TKIM.JK,28-Jun-2024,25,2024-10-11 09:32:22
ULTJ.JK,28-Jun-2024,40,2024-10-11 09:32:22
CTRA.JK,28-Jun-2024,21,2024-10-11 09:32:22
KINO.JK,01-Jul-2024,22,2024-10-11 09:32:22
DPNS.JK,01-Jul-2024,10,2024-10-11 09:32:22
JSPT.JK,01-Jul-2024,10,2024-10-11 09:32:22
SMRA.JK,01-Jul-2024,9,2024-10-11 09:32:22
UVCR.JK,01-Jul-2024,0.347,2024-10-11 09:32:22
IMAS.JK,01-Jul-2024,10,2024-10-11 09:32:22
IMJS.JK,01-Jul-2024,0.75,2024-10-11 09:32:22
ALDO.JK,01-Jul-2024,1,2024-10-11 09:32:22
UNVR.JK,01-Jul-2024,77,2024-10-11 09:32:22
DOID.JK,02-Jul-2024,10.64,2024-10-11 09:32:22
BAYU.JK,02-Jul-2024,75,2024-10-11 09:32:22
CAMP.JK,02-Jul-2024,20,2024-10-11 09:32:22
SOSS.JK,02-Jul-2024,10,2024-10-11 09:32:22
PANS.JK,02-Jul-2024,180,2024-10-11 09:32:22
MITI.JK,02-Jul-2024,3,2024-10-11 09:32:22
GPRA.JK,02-Jul-2024,5,2024-10-11 09:32:22
WGSH.JK,02-Jul-2024,1,2024-10-11 09:32:22
MKPI.JK,02-Jul-2024,535,2024-10-11 09:32:22
AMFG.JK,02-Jul-2024,80,2024-10-11 09:32:22
SSIA.JK,02-Jul-2024,12,2024-10-11 09:32:22
SMSM.JK,02-Jul-2024,40,2024-10-11 09:32:22
IDPR.JK,02-Jul-2024,5,2024-10-11 09:32:22
SMKM.JK,03-Jul-2024,0.5,2024-10-11 09:32:22
CBPE.JK,03-Jul-2024,1,2024-10-11 09:32:22
TSPC.JK,03-Jul-2024,75,2024-10-11 09:32:22
SAMF.JK,03-Jul-2024,41,2024-10-11 09:32:22
SUNI.JK,25-Jun-2024,4.4,2024-10-11 09:32:22
SCMA.JK,25-Jun-2024,5,2024-10-11 09:32:22
MYOR.JK,25-Jun-2024,55,2024-10-11 09:32:22
ERAL.JK,25-Jun-2024,10,2024-10-11 09:32:22
BUDI.JK,25-Jun-2024,4,2024-10-11 09:32:22
TBLA.JK,25-Jun-2024,40,2024-10-11 09:32:22
EMTK.JK,25-Jun-2024,4,2024-10-11 09:32:22
IPCM.JK,25-Jun-2024,18.61,2024-10-11 09:32:22
KKES.JK,26-Jun-2024,0.5,2024-10-11 09:32:22
PNSE.JK,26-Jun-2024,2,2024-10-11 09:32:22
ARTA.JK,26-Jun-2024,3,2024-10-11 09:32:22
BIRD.JK,26-Jun-2024,91,2024-10-11 09:32:22
GMTD.JK,27-Jun-2024,2.3,2024-10-11 09:32:22
PTPS.JK,27-Jun-2024,2.2,2024-10-11 09:32:22
TBMS.JK,27-Jun-2024,41.05,2024-10-11 09:32:22
BRPT.JK,27-Jun-2024,0.873,2024-10-11 09:32:22
GLVA.JK,27-Jun-2024,15,2024-10-11 09:32:22
PBSA.JK,27-Jun-2024,13,2024-10-11 09:32:22
UNIC.JK,27-Jun-2024,286,2024-10-11 09:32:22
BALI.JK,27-Jun-2024,20,2024-10-11 09:32:22
HUMI.JK,27-Jun-2024,1,2024-10-11 09:32:22
UANG.JK,27-Jun-2024,8.26,2024-10-11 09:32:22
SPMA.JK,27-Jun-2024,12,2024-10-11 09:32:22
PDPP.JK,27-Jun-2024,3.33,2024-10-11 09:32:22
NELY.JK,28-Jun-2024,15,2024-10-11 09:32:22
GEMA.JK,28-Jun-2024,5,2024-10-11 09:32:22
BEER.JK,28-Jun-2024,0.41,2024-10-11 09:32:22
RAAM.JK,28-Jun-2024,4,2024-10-11 09:32:22
ERAA.JK,28-Jun-2024,17,2024-10-11 09:32:22
MSJA.JK,28-Jun-2024,5,2024-10-11 09:32:22
SMAR.JK,14-Jun-2024,95,2024-10-11 09:32:23
DSNG.JK,14-Jun-2024,22,2024-10-11 09:32:23
WIFI.JK,19-Jun-2024,1.06,2024-10-11 09:32:23
ZONE.JK,19-Jun-2024,16.15,2024-10-11 09:32:23
DEPO.JK,19-Jun-2024,4,2024-10-11 09:32:23
HYGN.JK,19-Jun-2024,2.16,2024-10-11 09:32:23
PUDP.JK,19-Jun-2024,10,2024-10-11 09:32:23
PNGO.JK,20-Jun-2024,52,2024-10-11 09:32:23
KBLI.JK,20-Jun-2024,8,2024-10-11 09:32:23
CRAB.JK,20-Jun-2024,2,2024-10-11 09:32:23
ACES.JK,20-Jun-2024,33.5,2024-10-11 09:32:23
KEEN.JK,20-Jun-2024,7.55,2024-10-11 09:32:23
IFII.JK,20-Jun-2024,5,2024-10-11 09:32:23
OMED.JK,20-Jun-2024,2.88,2024-10-11 09:32:23
KBLM.JK,21-Jun-2024,8,2024-10-11 09:32:23
IPCC.JK,21-Jun-2024,62.39,2024-10-11 09:32:23
AXIO.JK,24-Jun-2024,8,2024-10-11 09:32:23
RSGK.JK,24-Jun-2024,11,2024-10-11 09:32:23
DVLA.JK,24-Jun-2024,65,2024-10-11 09:32:23
BRAM.JK,24-Jun-2024,200,2024-10-11 09:32:23
SHIP.JK,24-Jun-2024,20,2024-10-11 09:32:23
SCCO.JK,24-Jun-2024,75,2024-10-11 09:32:23
ZYRX.JK,24-Jun-2024,3.7,2024-10-11 09:32:23
JTPE.JK,24-Jun-2024,6,2024-10-11 09:32:23
PWON.JK,25-Jun-2024,9,2024-10-11 09:32:23
GDST.JK,25-Jun-2024,6,2024-10-11 09:32:23
KOCI.JK,25-Jun-2024,3,2024-10-11 09:32:23
MLBI.JK,25-Jun-2024,396,2024-10-11 09:32:23
INDS.JK,25-Jun-2024,100,2024-10-11 09:32:23
MTLA.JK,25-Jun-2024,10.91,2024-10-11 09:32:23
IDEA.JK,10-Jun-2024,0.5,2024-10-11 09:32:23
BMHS.JK,10-Jun-2024,0.56,2024-10-11 09:32:23
STAA.JK,10-Jun-2024,27,2024-10-11 09:32:23
GRPM.JK,10-Jun-2024,1.5,2024-10-11 09:32:23
CLEO.JK,10-Jun-2024,5.05,2024-10-11 09:32:23
MEDC.JK,10-Jun-2024,29.322,2024-10-11 09:32:23
BOLT.JK,10-Jun-2024,35,2024-10-11 09:32:23
PSGO.JK,10-Jun-2024,8,2024-10-11 09:32:23
PGAS.JK,10-Jun-2024,148.3060679659,2024-10-11 09:32:23
SILO.JK,10-Jun-2024,20,2024-10-11 09:32:23
GHON.JK,11-Jun-2024,165,2024-10-11 09:32:23
SDPC.JK,11-Jun-2024,2.5,2024-10-11 09:32:23
APLI.JK,11-Jun-2024,5.5,2024-10-11 09:32:23
MTEL.JK,11-Jun-2024,18.2746,2024-10-11 09:32:23
MLIA.JK,11-Jun-2024,15,2024-10-11 09:32:23
SMCB.JK,11-Jun-2024,29.7574185,2024-10-11 09:32:23
GEMS.JK,11-Jun-2024,410.42,2024-10-11 09:32:23
WINE.JK,12-Jun-2024,2.35,2024-10-11 09:32:23
FWCT.JK,12-Jun-2024,7,2024-10-11 09:32:23
MTDL.JK,12-Jun-2024,21,2024-10-11 09:32:23
TOTO.JK,12-Jun-2024,9,2024-10-11 09:32:23
BPII.JK,12-Jun-2024,5.5,2024-10-11 09:32:23
NTBK.JK,12-Jun-2024,0.1565,2024-10-11 09:32:23
JRPT.JK,13-Jun-2024,24,2024-10-11 09:32:23
MIKA.JK,13-Jun-2024,34,2024-10-11 09:32:23
VISI.JK,14-Jun-2024,1,2024-10-11 09:32:23
SPTO.JK,14-Jun-2024,25,2024-10-11 09:32:23
CHIP.JK,14-Jun-2024,3.05,2024-10-11 09:32:23
JKON.JK,14-Jun-2024,4.25,2024-10-11 09:32:23
CHEM.JK,14-Jun-2024,0.13,2024-10-11 09:32:23
KDSI.JK,04-Jun-2024,99,2024-10-11 09:32:24
BFIN.JK,04-Jun-2024,27,2024-10-11 09:32:24
LAJU.JK,05-Jun-2024,0.89,2024-10-11 09:32:24
IKPM.JK,05-Jun-2024,2.25,2024-10-11 09:32:24
SGRO.JK,05-Jun-2024,121,2024-10-11 09:32:24
BISI.JK,05-Jun-2024,80,2024-10-11 09:32:24
PTSN.JK,05-Jun-2024,6.73008,2024-10-11 09:32:24
WIIM.JK,05-Jun-2024,107.1,2024-10-11 09:32:24
BBMD.JK,05-Jun-2024,34.27,2024-10-11 09:32:24
EAST.JK,05-Jun-2024,1.5,2024-10-11 09:32:24
PGEO.JK,06-Jun-2024,47.7736410977296,2024-10-11 09:32:24
MSTI.JK,06-Jun-2024,99.84,2024-10-11 09:32:24
VICI.JK,06-Jun-2024,7,2024-10-11 09:32:24
UCID.JK,06-Jun-2024,20.908186809,2024-10-11 09:32:24
SKRN.JK,06-Jun-2024,10,2024-10-11 09:32:24
TCID.JK,06-Jun-2024,94,2024-10-11 09:32:24
EURO.JK,06-Jun-2024,4.6,2024-10-11 09:32:24
RAJA.JK,07-Jun-2024,38,2024-10-11 09:32:24
NICL.JK,07-Jun-2024,3.5,2024-10-11 09:32:24
CGAS.JK,07-Jun-2024,1.25,2024-10-11 09:32:24
MOLI.JK,07-Jun-2024,3.67,2024-10-11 09:32:24
MERK.JK,07-Jun-2024,320,2024-10-11 09:32:24
AMAR.JK,07-Jun-2024,3.03914133807,2024-10-11 09:32:24
BREN.JK,07-Jun-2024,2.03362,2024-10-11 09:32:24
SMBR.JK,07-Jun-2024,2.447934,2024-10-11 09:32:24
MPMX.JK,07-Jun-2024,115,2024-10-11 09:32:24
CSRA.JK,07-Jun-2024,14.63,2024-10-11 09:32:24
POWR.JK,07-Jun-2024,43.91709,2024-10-11 09:32:24
TBIG.JK,10-Jun-2024,30.2040453457,2024-10-11 09:32:24
NAYZ.JK,10-Jun-2024,0.12,2024-10-11 09:32:24
ADRO.JK,28-May-2024,209.31,2024-10-11 09:32:25
ELSA.JK,28-May-2024,27.57,2024-10-11 09:32:25
SIDO.JK,28-May-2024,18,2024-10-11 09:32:25
SRTG.JK,29-May-2024,22,2024-10-11 09:32:25
DLTA.JK,29-May-2024,281,2024-10-11 09:32:25
BOBA.JK,29-May-2024,5,2024-10-11 09:32:25
KMDS.JK,29-May-2024,22,2024-10-11 09:32:25
KLBF.JK,29-May-2024,31,2024-10-11 09:32:25
BIKE.JK,29-May-2024,10,2024-10-11 09:32:25
MIDI.JK,29-May-2024,4.65,2024-10-11 09:32:25
AMRT.JK,29-May-2024,28.68,2024-10-11 09:32:25
GEMS.JK,29-May-2024,232.21,2024-10-11 09:32:25
RALS.JK,30-May-2024,50,2024-10-11 09:32:25
BAUT.JK,30-May-2024,0.22,2024-10-11 09:32:25
PPGL.JK,30-May-2024,4,2024-10-11 09:32:25
BRIS.JK,30-May-2024,18.5470451,2024-10-11 09:32:25
PSSI.JK,30-May-2024,48,2024-10-11 09:32:25
KUAS.JK,30-May-2024,2.5,2024-10-11 09:32:25
WTON.JK,30-May-2024,0.79,2024-10-11 09:32:25
SBMA.JK,30-May-2024,1.1,2024-10-11 09:32:25
WEGE.JK,31-May-2024,0.98,2024-10-11 09:32:25
BBLD.JK,31-May-2024,20,2024-10-11 09:32:25
IMPC.JK,31-May-2024,4.5,2024-10-11 09:32:25
CPIN.JK,03-Jun-2024,30,2024-10-11 09:32:25
SMKL.JK,03-Jun-2024,2,2024-10-11 09:32:25
ITIC.JK,03-Jun-2024,5,2024-10-11 09:32:25
ISAT.JK,03-Jun-2024,268.4,2024-10-11 09:32:25
JECC.JK,04-Jun-2024,250,2024-10-11 09:32:25
EKAD.JK,04-Jun-2024,9,2024-10-11 09:32:25
TAPG.JK,15-May-2024,91,2024-10-11 09:32:25
MBAP.JK,15-May-2024,64,2024-10-11 09:32:25
TLKM.JK,16-May-2024,178.5041761,2024-10-11 09:32:25
SMGR.JK,16-May-2024,84.72778,2024-10-11 09:32:25
EXCL.JK,16-May-2024,48.6,2024-10-11 09:32:25
INDY.JK,17-May-2024,92.13308,2024-10-11 09:32:25
KDTN.JK,17-May-2024,1.07850556392,2024-10-11 09:32:25
RELF.JK,17-May-2024,0.2,2024-10-11 09:32:25
HILL.JK,21-May-2024,35,2024-10-11 09:32:25
BDKR.JK,21-May-2024,5,2024-10-11 09:32:25
LPIN.JK,21-May-2024,25,2024-10-11 09:32:25
PTBA.JK,21-May-2024,397.712,2024-10-11 09:32:25
ANTM.JK,21-May-2024,128.0712,2024-10-11 09:32:25
TEBE.JK,21-May-2024,50,2024-10-11 09:32:25
JSMR.JK,21-May-2024,37.86353,2024-10-11 09:32:25
MAHA.JK,21-May-2024,12,2024-10-11 09:32:25
TPIA.JK,21-May-2024,5.5764,2024-10-11 09:32:25
HEAL.JK,22-May-2024,8.5,2024-10-11 09:32:25
PBID.JK,22-May-2024,160,2024-10-11 09:32:25
NRCA.JK,27-May-2024,29,2024-10-11 09:32:25
LTLS.JK,27-May-2024,35,2024-10-11 09:32:25
TOTL.JK,27-May-2024,40,2024-10-11 09:32:25
EPMT.JK,27-May-2024,166,2024-10-11 09:32:25
INTP.JK,27-May-2024,90,2024-10-11 09:32:25
ABMM.JK,28-May-2024,295,2024-10-11 09:32:25
TGKA.JK,28-May-2024,312,2024-10-11 09:32:25
SGER.JK,28-May-2024,28,2024-10-11 09:32:25
MASA.JK,28-May-2024,37,2024-10-11 09:32:25
MARK.JK,28-May-2024,30,2024-10-11 09:32:25
ELPI.JK,28-May-2024,6.3,2024-10-11 09:32:25
MPXL.JK,03-May-2024,0.5,2024-10-11 09:32:26
AALI.JK,03-May-2024,165,2024-10-11 09:32:26
ASRM.JK,03-May-2024,65,2024-10-11 09:32:26
MKTR.JK,06-May-2024,1,2024-10-11 09:32:26
HRTA.JK,06-May-2024,15,2024-10-11 09:32:26
KEJU.JK,06-May-2024,53,2024-10-11 09:32:26
UNTR.JK,06-May-2024,1569,2024-10-11 09:32:26
CBUT.JK,06-May-2024,9.23,2024-10-11 09:32:26
DRMA.JK,07-May-2024,36.4,2024-10-11 09:32:26
AMAG.JK,07-May-2024,30,2024-10-11 09:32:26
MLPT.JK,07-May-2024,107,2024-10-11 09:32:26
TLDN.JK,07-May-2024,12.21,2024-10-11 09:32:26
CMRY.JK,07-May-2024,90,2024-10-11 09:32:26
AUTO.JK,08-May-2024,132,2024-10-11 09:32:26
MCOL.JK,08-May-2024,430,2024-10-11 09:32:26
TPMA.JK,08-May-2024,45,2024-10-11 09:32:26
LPGI.JK,13-May-2024,27,2024-10-11 09:32:26
TRIS.JK,13-May-2024,3.73999,2024-10-11 09:32:26
TUGU.JK,13-May-2024,123.256277,2024-10-11 09:32:26
PTMP.JK,13-May-2024,1.33,2024-10-11 09:32:26
PTRO.JK,13-May-2024,49.5418,2024-10-11 09:32:26
SMSM.JK,13-May-2024,25,2024-10-11 09:32:26
AKRA.JK,13-May-2024,50,2024-10-11 09:32:26
ASBI.JK,14-May-2024,3.5,2024-10-11 09:32:26
GOOD.JK,14-May-2024,9,2024-10-11 09:32:26
SKLT.JK,14-May-2024,5,2024-10-11 09:32:26
MFMI.JK,14-May-2024,37,2024-10-11 09:32:26
PLIN.JK,14-May-2024,85,2024-10-11 09:32:26
ASII.JK,14-May-2024,421,2024-10-11 09:32:26
BUAH.JK,15-May-2024,23,2024-10-11 09:32:26
BTPS.JK,01-Apr-2024,70.15,2024-10-11 09:32:26
BTPN.JK,02-Apr-2024,44.304837942,2024-10-11 09:32:26
BDMN.JK,03-Apr-2024,125.48,2024-10-11 09:32:26
TMAS.JK,16-Apr-2024,8,2024-10-11 09:32:26
ADMF.JK,16-Apr-2024,972,2024-10-11 09:32:26
IFSH.JK,17-Apr-2024,29.83,2024-10-11 09:32:26
SICO.JK,17-Apr-2024,2,2024-10-11 09:32:26
ARNA.JK,17-Apr-2024,43,2024-10-11 09:32:26
ITMG.JK,17-Apr-2024,1747,2024-10-11 09:32:26
WOMF.JK,17-Apr-2024,20.37,2024-10-11 09:32:26
HAIS.JK,18-Apr-2024,19.98,2024-10-11 09:32:26
BNII.JK,18-Apr-2024,10.29365,2024-10-11 09:32:26
BJBR.JK,19-Apr-2024,95.05,2024-10-11 09:32:26
CNMA.JK,19-Apr-2024,8,2024-10-11 09:32:26
ROTI.JK,22-Apr-2024,87.67,2024-10-11 09:32:26
LPPF.JK,22-Apr-2024,200,2024-10-11 09:32:26
BNLI.JK,22-Apr-2024,25,2024-10-11 09:32:26
BNGA.JK,22-Apr-2024,122.67,2024-10-11 09:32:26
AVIA.JK,23-Apr-2024,11,2024-10-11 09:32:26
JATI.JK,24-Apr-2024,0.25,2024-10-11 09:32:26
EAST.JK,25-Apr-2024,2.45,2024-10-11 09:32:26
BSML.JK,26-Apr-2024,1.62,2024-10-11 09:32:26
PRDA.JK,29-Apr-2024,165.9672941647627,2024-10-11 09:32:26
BELL.JK,02-May-2024,0.3458,2024-10-11 09:32:26
CINT.JK,02-May-2024,5,2024-10-11 09:32:26
SCNP.JK,03-May-2024,0.5,2024-10-11 09:32:26
HMSP.JK,03-May-2024,69.3,2024-10-11 09:32:26
ASGR.JK,03-May-2024,34,2024-10-11 09:32:26
TBIG.JK,13-Dec-2023,25,2024-10-11 09:32:27
GEMS.JK,14-Dec-2023,237.52,2024-10-11 09:32:27
BFIN.JK,14-Dec-2023,28,2024-10-11 09:32:27
TOWR.JK,15-Dec-2023,6,2024-10-11 09:32:27
PTPS.JK,18-Dec-2023,1.2,2024-10-11 09:32:27
BYAN.JK,18-Dec-2023,232.74,2024-10-11 09:32:27
PBSA.JK,19-Dec-2023,40,2024-10-11 09:32:27
RDTX.JK,22-Dec-2023,745,2024-10-11 09:32:27
IPCC.JK,27-Dec-2023,21.7,2024-10-11 09:32:27
ADRO.JK,29-Dec-2023,199.98,2024-10-11 09:32:27
BBRI.JK,02-Jan-2024,84,2024-10-11 09:32:27
BSSR.JK,08-Jan-2024,118.3948023,2024-10-11 09:32:27
IPCM.JK,08-Jan-2024,3.8,2024-10-11 09:32:27
SDRA.JK,10-Jan-2024,20,2024-10-11 09:32:27
AMOR.JK,12-Feb-2024,18.5,2024-10-11 09:32:27
BJTM.JK,21-Feb-2024,54.39,2024-10-11 09:32:27
PJAA.JK,05-Mar-2024,32,2024-10-11 09:32:27
MEGA.JK,14-Mar-2024,209.30381,2024-10-11 09:32:27
BBRI.JK,14-Mar-2024,235,2024-10-11 09:32:27
BBNI.JK,15-Mar-2024,280.4951698496,2024-10-11 09:32:27
BBTN.JK,19-Mar-2024,49.89136,2024-10-11 09:32:27
SDRA.JK,20-Mar-2024,7.5,2024-10-11 09:32:27
BMRI.JK,20-Mar-2024,353.957511267,2024-10-11 09:32:27
BBCA.JK,25-Mar-2024,227.5,2024-10-11 09:32:27
HATM.JK,26-Mar-2024,5.66,2024-10-11 09:32:27
NISP.JK,27-Mar-2024,72,2024-10-11 09:32:27
ESSA.JK,01-Apr-2024,5,2024-10-11 09:32:27
MLBI.JK,15-Nov-2023,110,2024-10-11 09:32:27
PPGL.JK,16-Nov-2023,2,2024-10-11 09:32:27
JAYA.JK,16-Nov-2023,2,2024-10-11 09:32:27
EAST.JK,16-Nov-2023,2.5,2024-10-11 09:32:27
CPIN.JK,17-Nov-2023,100,2024-10-11 09:32:27
TRIS.JK,17-Nov-2023,2.76,2024-10-11 09:32:27
TGKA.JK,21-Nov-2023,30,2024-10-11 09:32:27
MCOL.JK,21-Nov-2023,250,2024-10-11 09:32:27
TOTO.JK,23-Nov-2023,9,2024-10-11 09:32:27
NICL.JK,23-Nov-2023,4,2024-10-11 09:32:27
BREN.JK,23-Nov-2023,3.91,2024-10-11 09:32:27
AXIO.JK,23-Nov-2023,9,2024-10-11 09:32:27
SPTO.JK,24-Nov-2023,25,2024-10-11 09:32:27
SKRN.JK,24-Nov-2023,6,2024-10-11 09:32:27
JTPE.JK,24-Nov-2023,15,2024-10-11 09:32:27
AMOR.JK,27-Nov-2023,25,2024-10-11 09:32:27
MEDC.JK,30-Nov-2023,15,2024-10-11 09:32:27
RELF.JK,01-Dec-2023,0.7,2024-10-11 09:32:27
SCPI.JK,01-Dec-2023,42000,2024-10-11 09:32:27
NELY.JK,01-Dec-2023,15,2024-10-11 09:32:27
BBCA.JK,04-Dec-2023,42.5,2024-10-11 09:32:27
UNVR.JK,05-Dec-2023,63,2024-10-11 09:32:27
TUGU.JK,07-Dec-2023,25.512188,2024-10-11 09:32:27
POWR.JK,08-Dec-2023,29.47084,2024-10-11 09:32:27
TEBE.JK,11-Dec-2023,25,2024-10-11 09:32:27
DMAS.JK,11-Dec-2023,12,2024-10-11 09:32:27
DOID.JK,11-Dec-2023,10.64,2024-10-11 09:32:27
BPII.JK,25-Sep-2023,48,2024-10-11 09:32:28
PLIN.JK,29-Sep-2023,77,2024-10-11 09:32:28
HEXA.JK,06-Oct-2023,768.3,2024-10-11 09:32:28
AALI.JK,09-Oct-2023,82,2024-10-11 09:32:28
UNTR.JK,11-Oct-2023,701,2024-10-11 09:32:28
ASII.JK,12-Oct-2023,98,2024-10-11 09:32:28
VICI.JK,13-Oct-2023,3.5,2024-10-11 09:32:28
AUTO.JK,13-Oct-2023,40,2024-10-11 09:32:28
ASGR.JK,17-Oct-2023,13,2024-10-11 09:32:28
SMMT.JK,18-Oct-2023,63,2024-10-11 09:32:28
SMMT.JK,18-Oct-2023,37,2024-10-11 09:32:28
AVIA.JK,24-Oct-2023,11,2024-10-11 09:32:28
KMDS.JK,27-Oct-2023,15,2024-10-11 09:32:28
BOBA.JK,27-Oct-2023,2,2024-10-11 09:32:28
MPXL.JK,30-Oct-2023,1,2024-10-11 09:32:28
MARK.JK,31-Oct-2023,5,2024-10-11 09:32:28
SIDO.JK,01-Nov-2023,12.6,2024-10-11 09:32:28
MBAP.JK,02-Nov-2023,245,2024-10-11 09:32:28
AKRA.JK,03-Nov-2023,25,2024-10-11 09:32:28
SMSM.JK,06-Nov-2023,30,2024-10-11 09:32:28
PNGO.JK,07-Nov-2023,70,2024-10-11 09:32:28
BRAM.JK,08-Nov-2023,200,2024-10-11 09:32:28
SICO.JK,09-Nov-2023,2,2024-10-11 09:32:28
