symbol,date,dividend,updated_on
UCID.JK,06-Jun-2024,20.908186809,2024-10-10 15:43:46
SKRN.JK,06-Jun-2024,10,2024-10-10 15:43:46
TCID.JK,06-Jun-2024,94,2024-10-10 15:43:46
EURO.JK,06-Jun-2024,4.6,2024-10-10 15:43:46
RAJA.JK,07-Jun-2024,38,2024-10-10 15:43:46
NICL.JK,07-Jun-2024,3.5,2024-10-10 15:43:46
CGAS.JK,07-Jun-2024,1.25,2024-10-10 15:43:46
MOLI.JK,07-Jun-2024,3.67,2024-10-10 15:43:46
MERK.JK,07-Jun-2024,320,2024-10-10 15:43:46
AMAR.JK,07-Jun-2024,3.03914133807,2024-10-10 15:43:46
BREN.JK,07-Jun-2024,2.03362,2024-10-10 15:43:46
SMBR.JK,07-Jun-2024,2.447934,2024-10-10 15:43:46
MPMX.JK,07-Jun-2024,115,2024-10-10 15:43:46
CSRA.JK,07-Jun-2024,14.63,2024-10-10 15:43:46
POWR.JK,07-Jun-2024,43.91709,2024-10-10 15:43:46
TBIG.JK,10-Jun-2024,30.2040453457,2024-10-10 15:43:46
NAYZ.JK,10-Jun-2024,0.12,2024-10-10 15:43:46
ADRO.JK,28-May-2024,209.31,2024-10-10 15:43:46
ELSA.JK,28-May-2024,27.57,2024-10-10 15:43:46
SIDO.JK,28-May-2024,18,2024-10-10 15:43:46
SRTG.JK,29-May-2024,22,2024-10-10 15:43:46
DLTA.JK,29-May-2024,281,2024-10-10 15:43:46
BOBA.JK,29-May-2024,5,2024-10-10 15:43:46
KMDS.JK,29-May-2024,22,2024-10-10 15:43:46
KLBF.JK,29-May-2024,31,2024-10-10 15:43:46
BIKE.JK,29-May-2024,10,2024-10-10 15:43:46
MIDI.JK,29-May-2024,4.65,2024-10-10 15:43:46
AMRT.JK,29-May-2024,28.68,2024-10-10 15:43:46
GEMS.JK,29-May-2024,232.21,2024-10-10 15:43:46
RALS.JK,30-May-2024,50,2024-10-10 15:43:46
BAUT.JK,30-May-2024,0.22,2024-10-10 15:43:46
PPGL.JK,30-May-2024,4,2024-10-10 15:43:46
BRIS.JK,30-May-2024,18.5470451,2024-10-10 15:43:46
PSSI.JK,30-May-2024,48,2024-10-10 15:43:46
KUAS.JK,30-May-2024,2.5,2024-10-10 15:43:46
WTON.JK,30-May-2024,0.79,2024-10-10 15:43:46
SBMA.JK,30-May-2024,1.1,2024-10-10 15:43:46
WEGE.JK,31-May-2024,0.98,2024-10-10 15:43:46
BBLD.JK,31-May-2024,20,2024-10-10 15:43:46
IMPC.JK,31-May-2024,4.5,2024-10-10 15:43:46
CPIN.JK,03-Jun-2024,30,2024-10-10 15:43:46
SMKL.JK,03-Jun-2024,2,2024-10-10 15:43:46
ITIC.JK,03-Jun-2024,5,2024-10-10 15:43:46
ISAT.JK,03-Jun-2024,268.4,2024-10-10 15:43:46
JECC.JK,04-Jun-2024,250,2024-10-10 15:43:46
EKAD.JK,04-Jun-2024,9,2024-10-10 15:43:46
TAPG.JK,15-May-2024,91,2024-10-10 15:43:47
MBAP.JK,15-May-2024,64,2024-10-10 15:43:47
TLKM.JK,16-May-2024,178.5041761,2024-10-10 15:43:47
SMGR.JK,16-May-2024,84.72778,2024-10-10 15:43:47
EXCL.JK,16-May-2024,48.6,2024-10-10 15:43:47
INDY.JK,17-May-2024,92.13308,2024-10-10 15:43:47
KDTN.JK,17-May-2024,1.07850556392,2024-10-10 15:43:47
RELF.JK,17-May-2024,0.2,2024-10-10 15:43:47
HILL.JK,21-May-2024,35,2024-10-10 15:43:47
BDKR.JK,21-May-2024,5,2024-10-10 15:43:47
LPIN.JK,21-May-2024,25,2024-10-10 15:43:47
PTBA.JK,21-May-2024,397.712,2024-10-10 15:43:47
ANTM.JK,21-May-2024,128.0712,2024-10-10 15:43:47
TEBE.JK,21-May-2024,50,2024-10-10 15:43:47
JSMR.JK,21-May-2024,37.86353,2024-10-10 15:43:47
MAHA.JK,21-May-2024,12,2024-10-10 15:43:47
TPIA.JK,21-May-2024,5.5764,2024-10-10 15:43:47
HEAL.JK,22-May-2024,8.5,2024-10-10 15:43:47
PBID.JK,22-May-2024,160,2024-10-10 15:43:47
NRCA.JK,27-May-2024,29,2024-10-10 15:43:47
LTLS.JK,27-May-2024,35,2024-10-10 15:43:47
TOTL.JK,27-May-2024,40,2024-10-10 15:43:47
EPMT.JK,27-May-2024,166,2024-10-10 15:43:47
INTP.JK,27-May-2024,90,2024-10-10 15:43:47
ABMM.JK,28-May-2024,295,2024-10-10 15:43:47
TGKA.JK,28-May-2024,312,2024-10-10 15:43:47
SGER.JK,28-May-2024,28,2024-10-10 15:43:47
MASA.JK,28-May-2024,37,2024-10-10 15:43:47
MARK.JK,28-May-2024,30,2024-10-10 15:43:47
ELPI.JK,28-May-2024,6.3,2024-10-10 15:43:47
